,text
0,"<s>[INST] What is diabetes mellitus? [/INST] Diabetes mellitus, often known simply as diabetes, is a group of common endocrine diseases characterized by sustained high blood sugar levels. </s>"
1,"<s>[INST] What are the classic symptoms of diabetes? [/INST] Classic symptoms of diabetes include thirst, polyuria (excessive urination), weight loss, and blurred vision. </s>"
2,"<s>[INST] What are the major types of diabetes? [/INST] The major types of diabetes are type 1 and type 2, with type 2 accounting for about 90% of all cases. </s>"
3,"<s>[INST] What are the long-term complications of diabetes? [/INST] The major long-term complications of diabetes include damage to blood vessels at both macrovascular and microvascular levels, leading to increased risk of cardiovascular disease, diabetic retinopathy, chronic kidney disease, and nerve damage. </s>"
4,"<s>[INST] How is diabetes treated? [/INST] Type 1 diabetes is commonly treated with insulin replacement therapy, while type 2 diabetes can be managed with anti-diabetic medications like metformin, lifestyle modifications, and in some cases insulin therapy. </s>"
5,"<s>[INST] What is the global prevalence of diabetes? [/INST] As of 2021, an estimated 537 million people worldwide had diabetes, representing 10.5% of the adult population. It is projected that by 2045, approximately 783 million adults will be living with diabetes. </s>"
6,"<s>[INST] What are the common symptoms of Type 2 diabetes? [/INST] Common symptoms of Type 2 diabetes include increased thirst, frequent urination, fatigue, unexplained weight loss, increased hunger, pins and needles sensation, and sores that do not heal. </s>"
7,"<s>[INST] What are the long-term complications of high blood sugar in Type 2 diabetes? [/INST] Long-term complications of high blood sugar in Type 2 diabetes include heart disease, strokes, diabetic retinopathy leading to blindness, kidney failure, poor blood flow in the limbs which may lead to amputations. </s>"
8,"<s>[INST] How is Type 2 diabetes diagnosed? [/INST] Type 2 diabetes is diagnosed through blood tests such as fasting plasma glucose, oral glucose tolerance test, or glycated hemoglobin (A1C). </s>"
9,"<s>[INST] What are the risk factors for developing Type 2 diabetes? [/INST] Risk factors for developing Type 2 diabetes include obesity, lack of exercise, genetic predisposition, and poor diet. </s>"
10,"<s>[INST] How can Type 2 diabetes be prevented? [/INST] Type 2 diabetes can be prevented by maintaining a normal weight, exercising regularly, and eating a healthy diet high in fruits and vegetables and low in sugar and saturated fats. </s>"
11,"<s>[INST] What is the treatment for Type 2 diabetes? [/INST] Treatment for Type 2 diabetes involves exercise, dietary changes, and medication such as metformin. Some individuals may also require insulin injections. </s>"
12,"<s>[INST] What are some complications associated with Type 2 diabetes? [/INST] Complications associated with Type 2 diabetes include cardiovascular disease, lower limb amputations, nontraumatic blindness, kidney failure, cognitive dysfunction, and dementia. </s>"
13,"<s>[INST] What is Type 1 diabetes? [/INST] Type 1 diabetes, formerly known as juvenile diabetes, is an autoimmune disease that occurs when cells that make insulin (beta cells) are destroyed by the immune system. </s>"
14,"<s>[INST] What are the common symptoms of Type 1 diabetes? [/INST] Common symptoms of Type 1 diabetes include frequent urination, increased thirst, increased hunger, weight loss, blurry vision, tiredness, slow wound healing, and other serious complications. </s>"
15,<s>[INST] How is Type 1 diabetes diagnosed? [/INST] Type 1 diabetes is diagnosed by testing the level of sugar or glycated hemoglobin (HbA1C) in the blood. It can typically be distinguished from type 2 diabetes by testing for the presence of autoantibodies and/or declining levels/absence of C-peptide. </s>
16,"<s>[INST] What are the complications of untreated Type 1 diabetes? [/INST] Complications of untreated Type 1 diabetes can include diabetic ketoacidosis, nonketotic hyperosmolar coma, heart disease, stroke, kidney failure, foot ulcers, damage to the eyes, and low blood sugar complications if more insulin is taken than necessary. </s>"
17,"<s>[INST] How is Type 1 diabetes treated? [/INST] Treatment for Type 1 diabetes involves insulin therapy, usually given by injection under the skin or through an insulin pump. A diabetic diet and exercise are also important parts of management. </s>"
18,"<s>[INST] What is the cause of Type 1 diabetes? [/INST] Type 1 diabetes is caused by the destruction of beta cells in the pancreas, which are responsible for producing insulin. This results in progressive insulin deficiency and persistent hyperglycemia. </s>"
19,<s>[INST] What is diabetes insipidus? [/INST] Diabetes insipidus (DI) is a condition characterized by large amounts of dilute urine and increased thirst. The amount of urine produced can be nearly 20 liters per day. </s>
20,"<s>[INST] What are the types of diabetes insipidus? [/INST] There are four types of DI: Central DI (CDI), Nephrogenic DI (NDI), Dipsogenic DI, and Gestational DI. </s>"
21,"<s>[INST] What are the causes of Central DI? [/INST] Central DI is due to a lack of vasopressin (antidiuretic hormone) production. This can be due to injury to the hypothalamus or pituitary gland, genetics, malignant or benign tumors of the brain or pituitary, cranial surgery, or head trauma. </s>"
22,"<s>[INST] What are the symptoms of diabetes insipidus? [/INST] Symptoms of DI include excessive urination, extreme thirst, increased fluid intake, blurred vision (rare), signs of dehydration, interference with appetite, eating, weight gain, growth in children, fever, vomiting, and diarrhea. </s>"
23,"<s>[INST] How is diabetes insipidus diagnosed? [/INST] Diagnosis is often based on urine tests, blood tests, and the fluid deprivation test. </s>"
24,"<s>[INST] What is the treatment for diabetes insipidus? [/INST] Treatment involves drinking sufficient fluids to prevent dehydration. Other treatments depend on the type of DI. In central and gestational DI, treatment is with desmopressin. Nephrogenic DI may be treated by addressing the underlying cause or by the use of specific medications. </s>"
